"Id","LotFrontage","LotArea","OverallQual","OverallCond","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","TotRmsAbvGrd","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","SalePrice","ExterQualRank","ExterCondRank","BsmtQualRank","BsmtCondRank","HeatingQCRank","CentralAirRank","KitchenQualRank","FirePlaceQuRank","GarageQualRank","GarageCondRank","BsmtFinType1Rank","BsmtFinType2Rank","NeighborhoodRank","HouseAge","RemodeledFlag","PoolFlag"
11,70,11200,5,5,0,906,0,134,1040,1040,0,0,1040,1,1,0,3,5,1,384,0,0,0,0,0,0,0,129500,3,3,3,3,1,2,3,3,3,3,4,6,7,1960,0,0
12,85,11924,9,5,286,998,0,177,1175,1182,1142,0,2324,1,3,0,4,11,3,736,147,21,0,0,0,0,0,345000,1,3,1,3,1,2,1,2,3,3,1,6,24,2001,1,0
13,70,12968,5,6,0,737,0,175,912,912,0,0,912,1,1,0,2,4,1,352,140,0,0,0,176,0,0,144000,3,3,3,3,3,2,3,4,3,3,2,6,7,1957,0,0
14,91,10652,7,5,306,0,0,1494,1494,1494,0,0,1494,0,2,0,3,7,3,840,160,33,0,0,0,0,0,279500,2,3,2,3,1,2,2,2,3,3,6,6,17,2002,1,0
15,73,10920,6,5,212,733,0,520,1253,1253,0,0,1253,1,1,1,2,5,1,352,0,213,176,0,0,0,0,157000,3,3,3,3,3,2,3,4,3,3,3,6,11,1955,0,0
16,51,6120,7,8,0,0,0,832,832,854,0,0,854,0,1,0,2,5,2,576,48,112,0,0,0,0,0,132000,3,3,3,3,1,2,3,2,3,3,6,6,4,1996,1,0
17,76,11241,6,7,180,578,0,426,1004,1004,0,0,1004,1,1,0,2,5,2,480,0,0,0,0,0,0,700,149000,3,3,3,3,1,2,3,3,3,3,2,6,11,1965,0,0
18,72,10791,4,5,0,0,0,0,0,1296,0,0,1296,0,2,0,2,6,2,516,0,0,0,0,0,0,500,90000,3,3,3,3,3,2,3,2,3,3,6,6,7,1962,0,0
19,66,13695,5,5,0,646,0,468,1114,1114,0,0,1114,1,1,1,3,6,2,576,0,102,0,0,0,0,0,159000,3,3,3,3,1,2,2,2,3,3,1,6,13,1999,0,0
20,70,7560,5,6,0,504,0,525,1029,1339,0,0,1339,0,1,0,3,6,1,294,0,0,0,0,0,0,0,139000,3,3,3,3,3,2,3,3,3,3,5,6,11,1960,1,0
21,101,14215,8,5,380,0,0,1158,1158,1158,1218,0,2376,0,3,1,4,9,3,853,240,154,0,0,0,0,0,325300,2,3,1,3,1,2,2,2,3,3,6,6,24,2001,1,0
22,57,7449,7,7,0,0,0,637,637,1108,0,0,1108,0,1,0,3,6,1,280,0,0,205,0,0,0,0,139400,3,3,3,3,1,2,2,2,3,3,6,6,2,1945,1,0
23,75,9742,8,5,281,0,0,1777,1777,1795,0,0,1795,0,2,0,3,7,2,534,171,159,0,0,0,0,0,230000,2,3,2,3,1,2,2,2,3,3,6,6,17,1997,0,0
24,44,4224,5,7,0,840,0,200,1040,1060,0,0,1060,1,1,0,3,6,2,572,100,110,0,0,0,0,0,129900,3,3,2,3,3,2,3,3,3,3,1,6,1,1971,0,0
25,65,8246,5,8,0,188,668,204,1060,1060,0,0,1060,1,1,0,3,6,1,270,406,90,0,0,0,0,0,154000,3,2,3,3,1,2,2,3,3,3,4,2,7,1996,1,0
26,110,14230,8,5,640,0,0,1566,1566,1600,0,0,1600,0,2,0,3,7,3,890,0,56,0,0,0,0,0,256300,2,3,2,3,1,2,2,2,3,3,6,6,24,2002,0,0
27,60,7200,5,7,0,234,486,180,900,900,0,0,900,0,1,0,3,5,2,576,222,32,0,0,0,0,0,134800,3,3,3,3,3,2,2,3,3,3,3,4,11,1995,1,0
28,98,11478,8,5,200,1218,0,486,1704,1704,0,0,1704,1,2,0,3,7,3,772,0,50,0,0,0,0,0,306000,2,3,1,3,1,2,2,2,3,3,1,6,24,2003,1,0
29,47,16321,5,6,0,1277,0,207,1484,1600,0,0,1600,1,1,0,2,6,1,319,288,258,0,0,0,0,0,207500,3,3,3,3,3,2,3,2,3,3,3,6,11,1992,1,0
30,60,6324,4,6,0,0,0,520,520,520,0,0,520,0,1,0,1,4,1,240,49,0,87,0,0,0,0,68500,3,3,3,3,4,1,4,2,4,3,6,6,4,1945,1,0
31,50,8500,4,4,0,0,0,649,649,649,668,0,1317,0,1,0,3,6,1,250,0,54,172,0,0,0,0,40000,3,4,3,3,3,1,3,2,3,4,6,6,2,1945,1,0
32,66,8544,5,6,0,0,0,1228,1228,1228,0,0,1228,0,1,1,3,6,1,271,0,65,0,0,0,0,0,149350,3,3,3,3,2,2,2,4,3,3,6,6,7,2001,1,0
33,85,11049,8,5,0,0,0,1234,1234,1234,0,0,1234,0,2,0,3,7,2,484,0,30,0,0,0,0,0,179900,2,3,1,3,1,2,2,2,3,3,6,6,17,2002,0,0
34,70,10552,5,5,0,1018,0,380,1398,1700,0,0,1700,0,1,1,4,6,2,447,0,38,0,0,0,0,0,165500,3,3,3,3,2,2,2,2,3,3,4,6,11,1954,0,0
35,60,7313,9,5,246,1153,0,408,1561,1561,0,0,1561,1,2,0,2,6,2,556,203,47,0,0,0,0,0,277500,1,3,1,3,1,2,1,2,3,3,1,6,24,2000,0,0
36,108,13418,8,5,132,0,0,1117,1117,1132,1320,0,2452,0,3,1,4,9,3,691,113,32,0,0,0,0,0,309000,2,3,1,3,1,2,2,2,3,3,6,6,24,2000,1,0
37,112,10859,5,5,0,0,0,1097,1097,1097,0,0,1097,0,1,1,3,6,2,672,392,64,0,0,0,0,0,145000,3,3,2,3,1,2,3,3,3,3,6,6,17,1990,1,0
38,74,8532,5,6,650,1213,0,84,1297,1297,0,0,1297,0,1,0,3,5,2,498,0,0,0,0,0,0,0,153000,3,3,3,3,2,2,3,3,3,3,4,6,11,1985,1,0
39,68,7922,5,7,0,731,0,326,1057,1057,0,0,1057,1,1,0,3,5,1,246,0,52,0,0,0,0,0,109000,3,2,3,3,3,2,2,2,3,3,1,6,11,2002,1,0
40,65,6040,4,5,0,0,0,0,0,1152,0,0,1152,0,2,0,2,6,0,0,0,0,0,0,0,0,0,82000,3,3,3,3,3,1,4,2,3,3,3,6,5,1950,0,0
41,84,8658,6,5,101,643,0,445,1088,1324,0,0,1324,0,2,0,3,6,2,440,0,138,0,0,0,0,0,160000,3,3,3,3,1,2,3,3,3,3,4,6,11,1960,0,0
42,115,16905,5,6,0,967,0,383,1350,1328,0,0,1328,0,1,1,2,5,1,308,0,104,0,0,0,0,0,170000,3,2,3,3,2,2,3,2,3,3,3,6,22,1954,0,0
43,73,9180,5,7,0,747,93,0,840,884,0,0,884,1,1,0,2,5,2,504,240,0,0,0,0,0,0,144000,3,3,2,3,2,2,2,3,3,2,2,5,13,1978,0,0
44,70,9200,5,6,0,280,491,167,938,938,0,0,938,1,1,0,3,5,1,308,145,0,0,0,0,0,0,130250,3,3,2,3,3,2,3,5,3,3,5,3,17,1975,1,0
45,70,7945,5,6,0,179,506,465,1150,1150,0,0,1150,1,1,0,3,6,1,300,0,0,0,0,0,0,0,141000,3,3,3,3,1,2,3,3,3,3,2,3,11,1954,0,0
46,61,7658,9,5,412,456,0,1296,1752,1752,0,0,1752,1,2,0,2,6,2,576,196,82,0,0,0,0,0,319900,1,3,1,3,1,2,1,2,3,3,1,6,24,2000,0,0
47,48,12822,7,5,0,1351,0,83,1434,1518,631,0,2149,1,1,1,1,6,2,670,168,43,0,0,198,0,0,239686,2,3,1,3,1,2,2,1,3,3,1,6,12,1998,0,0
48,84,11096,8,5,0,24,0,1632,1656,1656,0,0,1656,0,2,0,3,7,3,826,0,146,0,0,0,0,0,249700,2,3,2,3,1,2,2,2,3,3,1,6,20,2001,0,0
49,33,4456,4,5,0,0,0,736,736,736,716,0,1452,0,2,0,2,8,0,0,0,0,102,0,0,0,0,113000,3,3,3,3,2,2,3,3,3,3,6,6,6,2003,1,0
50,66,7742,5,7,0,763,0,192,955,955,0,0,955,1,1,0,3,6,1,386,0,0,0,0,0,0,0,127000,3,3,3,3,1,2,3,3,3,3,3,6,7,1961,0,0
51,65,13869,6,6,0,182,0,612,794,794,676,0,1470,0,2,0,3,6,2,388,0,75,0,0,0,0,0,177000,3,3,2,3,2,2,3,3,3,3,1,6,15,1992,0,0
52,52,6240,6,6,0,0,0,816,816,816,0,360,1176,0,1,0,3,6,2,528,112,0,0,0,0,0,400,114500,3,3,3,3,3,2,3,2,3,3,6,6,4,1945,1,0
53,110,8472,5,5,0,104,712,0,816,816,0,0,816,1,1,0,2,5,2,516,106,0,0,0,0,0,0,110000,4,3,2,3,3,1,3,3,3,3,5,1,2,1958,0,0
54,68,50271,9,5,0,1810,0,32,1842,1842,0,0,1842,2,0,1,0,5,3,894,857,72,0,0,0,0,0,385000,2,3,1,3,2,2,2,2,3,3,1,6,21,1982,1,0
55,60,7134,5,5,0,384,0,0,384,1360,0,0,1360,0,1,0,3,6,2,572,0,50,0,0,0,0,0,130000,3,3,3,3,3,2,3,3,3,3,2,6,11,1950,0,0
56,100,10175,6,5,272,490,0,935,1425,1425,0,0,1425,0,2,0,3,7,2,576,0,0,0,407,0,0,0,180500,3,3,3,3,2,2,3,2,3,3,3,6,11,1959,0,0
57,24,2645,8,5,456,649,0,321,970,983,756,0,1739,1,2,1,3,7,2,480,115,0,0,0,0,0,0,172500,2,3,2,3,1,2,2,3,3,3,1,6,20,1995,1,0
58,89,11645,7,5,0,0,0,860,860,860,860,0,1720,0,2,1,3,7,2,565,0,70,0,0,0,0,0,196500,2,3,2,3,1,2,2,3,3,3,6,6,17,1999,0,0
59,66,13682,10,5,1031,0,0,1410,1410,1426,1519,0,2945,0,3,1,3,10,3,641,192,0,37,0,0,0,0,438780,1,3,1,3,1,2,2,2,3,3,6,6,23,2001,0,0
60,60,7200,5,7,0,632,0,148,780,780,0,0,780,0,1,0,2,4,1,352,196,0,0,0,0,0,0,124900,3,3,3,3,1,2,3,4,3,3,2,6,17,1967,0,0
61,63,13072,6,5,0,941,0,217,1158,1158,0,0,1158,1,1,1,3,5,2,576,0,50,0,0,0,0,0,158000,3,3,2,3,1,2,2,2,3,3,2,6,13,1999,0,0
62,60,7200,5,7,0,0,0,530,530,581,530,0,1111,0,1,0,3,6,1,288,0,0,144,0,0,0,0,101000,3,3,3,4,3,1,4,2,3,3,6,6,2,1991,1,0
63,44,6442,8,5,178,24,0,1346,1370,1370,0,0,1370,0,2,0,2,6,2,484,120,49,0,0,0,0,0,202500,2,3,2,2,1,2,2,2,3,3,1,6,24,2001,0,0
64,50,10300,7,6,0,0,0,576,576,902,808,0,1710,0,2,0,3,9,2,480,12,11,64,0,0,0,0,140000,3,3,3,3,2,2,3,2,3,3,6,6,6,1945,1,0
65,65,9375,7,5,573,739,0,318,1057,1057,977,0,2034,1,2,1,3,8,2,645,576,36,0,0,0,0,0,219500,3,3,2,3,1,2,2,3,3,3,1,6,17,1993,1,0
66,76,9591,8,5,344,0,0,1143,1143,1143,1330,0,2473,0,2,1,4,9,3,852,192,151,0,0,0,0,0,317000,2,3,1,3,1,2,2,2,3,3,6,6,24,2000,1,0
67,85,19900,7,5,287,912,0,1035,1947,2207,0,0,2207,1,2,0,3,7,2,576,301,0,0,0,0,0,0,180000,3,3,2,3,3,2,3,2,3,3,1,6,11,1984,1,0
68,72,10665,7,5,167,1013,0,440,1453,1479,0,0,1479,1,2,0,3,7,2,558,144,29,0,0,0,0,0,226000,2,3,2,3,1,2,2,3,3,3,1,6,17,1998,0,0
69,47,4608,4,6,0,0,0,747,747,747,0,0,747,0,1,0,2,4,1,220,0,0,0,0,0,0,0,80000,3,2,3,3,3,2,3,2,3,3,6,6,6,1945,1,0
70,81,15593,7,4,0,603,0,701,1304,1304,983,0,2287,0,2,0,3,7,2,667,0,21,114,0,0,0,0,225000,2,3,3,3,3,2,3,3,3,3,3,6,19,1948,0,0
71,95,13651,7,6,1115,1880,0,343,2223,2223,0,0,2223,1,2,0,3,8,2,516,300,0,0,0,0,0,0,244000,3,2,2,3,1,2,3,2,3,3,2,6,11,1968,0,0
72,69,7599,4,6,0,565,0,280,845,845,0,0,845,1,1,0,2,4,2,360,0,0,0,0,0,0,0,129500,3,3,3,3,3,2,3,4,3,3,2,6,12,2001,1,0
73,74,10141,7,5,40,0,0,832,832,885,833,0,1718,0,2,1,3,7,2,427,0,94,0,0,291,0,0,185000,3,3,2,3,2,2,3,3,3,3,6,6,15,1993,0,0
74,85,10200,5,7,104,320,362,404,1086,1086,0,0,1086,1,1,0,3,6,2,490,0,0,0,0,0,0,0,144900,3,3,3,3,2,2,3,3,3,3,2,3,11,1998,1,0
75,60,5790,3,6,0,0,0,840,840,840,765,0,1605,0,2,0,3,8,1,379,0,0,202,0,0,0,0,107400,2,2,4,3,2,1,3,2,3,3,6,6,6,1945,1,0
76,21,1596,4,5,0,462,0,0,462,526,462,0,988,1,1,0,2,5,1,297,120,101,0,0,0,0,0,91000,3,3,2,3,3,2,3,3,3,3,1,6,1,1968,0,0
77,70,8475,4,7,0,228,0,724,952,952,0,0,952,0,1,0,2,4,1,283,0,0,0,0,0,0,0,135750,3,3,3,3,1,2,3,2,3,3,2,6,11,1951,0,0
78,50,8635,5,5,0,336,41,295,672,1072,213,0,1285,1,1,0,2,6,1,240,0,0,0,0,0,0,0,127000,3,3,3,3,3,2,3,2,3,3,3,1,4,1996,1,0
79,72,10778,4,5,0,0,0,1768,1768,1768,0,0,1768,0,2,0,4,8,0,0,0,0,0,0,0,0,0,136500,3,3,3,3,3,1,3,3,3,3,6,6,7,1963,0,0
80,60,10440,5,6,0,0,0,440,440,682,548,0,1230,0,1,1,2,5,2,440,74,0,128,0,0,0,0,110000,3,3,3,3,2,2,3,2,3,3,6,6,6,1976,1,0
81,100,13000,6,6,576,448,0,448,896,1182,960,0,2142,0,2,1,4,8,1,509,0,72,0,0,252,0,0,193500,3,2,2,3,3,2,2,2,3,3,4,6,11,1963,0,0
82,32,4500,6,5,443,1201,0,36,1237,1337,0,0,1337,1,2,0,2,5,2,405,0,199,0,0,0,0,0,153500,3,2,1,2,1,2,3,2,3,3,1,6,12,1993,0,0
83,78,10206,8,5,468,33,0,1530,1563,1563,0,0,1563,0,2,0,3,6,3,758,144,99,0,0,0,0,0,245000,3,3,2,3,1,2,2,2,3,3,1,6,20,2002,0,0
84,80,8892,5,5,66,0,0,1065,1065,1065,0,0,1065,0,1,1,3,6,2,461,74,0,0,0,0,0,0,126500,3,3,3,3,2,2,3,4,3,3,6,6,11,1955,0,0
85,65,8530,7,5,22,0,0,384,384,804,670,0,1474,0,2,1,3,7,2,400,120,72,0,0,0,0,700,168500,3,3,2,3,2,2,3,3,3,3,6,6,15,1991,1,0
86,121,16059,8,5,284,0,0,1288,1288,1301,1116,0,2417,0,2,1,4,9,2,462,127,82,0,0,0,0,0,260000,2,3,2,3,1,2,2,3,3,3,6,6,25,1987,1,0
87,122,11911,6,5,0,0,0,684,684,684,876,0,1560,0,2,1,3,6,2,400,100,38,0,0,0,0,0,174000,2,3,2,3,1,2,2,2,3,3,6,6,15,2000,0,0
88,40,3951,6,5,76,0,0,612,612,612,612,0,1224,0,2,1,2,4,2,528,0,234,0,0,0,0,0,164500,2,3,2,3,1,2,2,3,3,3,6,6,20,2004,0,0
89,105,8470,3,2,0,0,0,1013,1013,1013,0,513,1526,0,1,0,2,6,0,0,0,0,156,0,0,0,0,85000,4,4,3,4,3,1,4,3,4,4,6,6,2,1977,1,0
90,60,8070,4,5,0,588,0,402,990,990,0,0,990,1,1,0,3,5,0,0,0,0,0,0,0,0,0,123600,3,3,2,3,1,2,3,3,3,3,1,6,17,1990,1,0
91,60,7200,4,5,0,0,0,0,0,1040,0,0,1040,0,1,0,2,4,2,420,0,29,0,0,0,0,0,109900,3,3,3,3,3,2,3,2,3,3,3,6,11,1945,0,0
92,85,8500,5,3,203,600,0,635,1235,1235,0,0,1235,0,1,0,2,6,2,480,0,0,0,0,0,0,0,98600,3,3,3,3,3,2,3,2,3,3,4,6,11,1956,0,0
93,80,13360,5,7,0,713,0,163,876,964,0,0,964,1,1,0,2,5,2,432,0,0,44,0,0,0,0,163500,3,2,2,3,1,2,3,2,3,3,2,6,18,2001,1,0
94,60,7200,6,6,0,1046,0,168,1214,1260,1031,0,2291,0,2,0,4,9,2,506,0,0,0,0,99,0,0,133900,3,3,3,4,1,1,3,2,3,3,4,6,6,1993,1,0
95,69,9337,6,5,0,648,0,176,824,905,881,0,1786,1,2,1,3,7,2,684,0,162,0,0,0,0,0,204750,3,2,2,3,1,2,2,3,3,3,1,6,17,1992,0,0
96,74,9765,6,8,68,310,0,370,680,680,790,0,1470,0,2,1,3,6,2,420,232,63,0,0,0,0,480,185000,1,2,2,2,2,2,3,3,3,3,2,6,15,1988,0,0
97,78,10264,7,5,183,1162,0,426,1588,1588,0,0,1588,0,2,0,3,6,2,472,158,29,0,0,0,0,0,214000,2,3,2,3,1,2,2,3,3,3,2,6,17,1994,0,0
98,73,10921,4,5,48,520,0,440,960,960,0,0,960,1,1,0,3,6,1,432,120,0,0,0,0,0,0,94750,3,3,3,3,3,2,3,2,3,3,4,6,5,1960,0,0
99,85,10625,5,5,0,108,0,350,458,835,0,0,835,0,1,0,2,5,1,366,0,0,77,0,0,0,400,83000,3,3,3,3,4,1,3,2,4,3,2,6,5,1945,1,0
100,77,9320,4,5,0,569,0,381,950,1225,0,0,1225,1,1,1,3,6,0,0,352,0,0,0,0,0,400,128950,3,3,3,3,4,2,3,2,3,3,2,6,11,1954,0,0
101,80,10603,6,7,28,1200,0,410,1610,1610,0,0,1610,1,2,0,3,6,2,480,168,68,0,0,0,0,0,205000,3,3,3,3,2,2,2,3,3,3,2,6,14,1996,1,0
102,77,9206,6,5,336,0,0,741,741,977,755,0,1732,0,2,1,3,7,2,476,192,46,0,0,0,0,0,178000,2,3,2,3,3,2,2,3,3,3,6,6,13,1980,0,0
103,64,7018,5,5,0,0,0,0,0,1535,0,0,1535,0,2,0,4,8,2,410,0,0,0,0,0,0,0,118964,3,4,3,3,3,2,3,3,3,3,6,6,13,1974,0,0
104,94,10402,7,5,0,0,0,1226,1226,1226,0,0,1226,0,2,0,3,6,3,740,0,36,0,0,0,0,0,198900,3,3,2,3,1,2,2,2,3,3,6,6,17,2004,0,0
105,50,7758,7,4,600,224,0,816,1040,1226,592,0,1818,0,1,1,4,7,1,240,0,0,0,0,184,0,0,169500,3,4,3,3,1,2,3,3,3,3,5,6,2,1945,1,0
106,75,9375,8,5,768,0,0,1053,1053,1053,939,0,1992,0,2,1,3,9,2,648,140,45,0,0,0,0,0,250000,2,3,1,3,1,2,2,2,3,3,6,6,20,1999,1,0
107,60,10800,4,7,0,0,0,641,641,1047,0,0,1047,0,1,0,2,6,1,273,0,0,0,0,0,0,450,100000,3,3,4,3,2,2,3,2,4,4,6,6,6,1990,1,0
108,50,6000,5,5,0,104,169,516,789,789,0,0,789,0,1,0,2,5,1,250,0,0,0,0,0,0,0,115000,3,3,3,3,1,2,3,2,3,3,2,3,6,1945,1,0
109,85,8500,5,7,0,0,0,793,793,997,520,0,1517,0,2,0,3,7,0,0,0,0,144,0,0,0,0,115000,3,3,3,3,3,1,4,2,3,3,6,6,2,2000,1,0
110,105,11751,6,6,480,705,0,1139,1844,1844,0,0,1844,0,2,0,3,7,2,546,0,122,0,0,0,0,0,190000,3,3,2,3,1,2,3,3,3,3,3,6,14,1972,0,0
111,75,9525,6,4,0,444,0,550,994,1216,639,0,1855,0,2,0,4,7,1,325,182,0,0,0,0,0,0,136900,3,3,3,4,2,2,3,2,3,3,4,6,5,1967,1,0
112,62,7750,7,5,0,250,0,134,384,774,656,0,1430,0,2,1,3,7,2,400,180,0,0,0,0,0,0,180000,3,3,2,3,1,2,3,3,3,3,1,6,15,1995,0,0
113,77,9965,7,5,220,984,0,280,1264,1282,1414,0,2696,1,2,1,4,10,3,792,120,184,0,0,168,0,0,383970,2,3,1,3,1,2,1,2,3,3,1,6,17,2002,0,0
114,80,21000,6,5,184,35,869,905,1809,2259,0,0,2259,1,2,0,3,7,2,450,166,120,192,0,0,0,0,217000,3,2,2,3,3,2,2,2,3,3,2,4,18,1948,0,0
115,61,7259,6,8,0,774,150,104,1028,1436,884,0,2320,1,2,1,3,9,1,180,224,0,0,0,0,0,0,259500,3,3,3,3,1,2,2,3,3,3,2,5,18,1997,1,0
116,34,3230,6,5,1129,419,0,310,729,729,729,0,1458,0,2,1,2,5,2,440,0,32,0,0,0,0,0,176000,3,3,2,3,2,2,3,4,3,3,1,6,20,1994,0,0
117,75,11616,5,5,116,170,670,252,1092,1092,0,0,1092,0,1,0,3,6,1,288,0,20,144,0,0,0,0,139000,3,3,3,3,3,2,3,5,3,3,5,3,7,1957,0,0
118,74,8536,5,5,0,0,0,1125,1125,1125,0,0,1125,0,1,1,2,5,2,430,80,64,0,0,0,0,0,155000,3,3,2,3,2,2,3,3,3,3,6,6,5,2002,1,0
119,90,12376,7,5,0,1470,0,203,1673,1699,1523,0,3222,1,3,0,5,11,3,594,367,0,0,0,0,0,0,320000,3,3,2,3,2,2,2,3,3,3,1,6,13,1985,0,0
120,65,8461,6,5,0,0,0,728,728,728,728,0,1456,0,2,1,3,8,2,390,0,24,0,0,0,0,0,163990,2,3,2,3,1,2,2,2,3,3,6,6,17,2001,1,0
121,65,21453,6,5,0,938,0,0,938,988,0,0,988,1,1,0,1,4,2,540,0,130,0,130,0,0,0,180000,3,3,3,3,1,2,3,3,3,3,2,6,19,1964,0,0
122,50,6060,4,5,0,0,0,732,732,772,351,0,1123,0,1,0,3,4,1,264,0,0,140,0,0,0,0,100000,3,3,3,3,2,2,3,2,3,3,6,6,2,1945,1,0
123,75,9464,6,7,135,570,0,510,1080,1080,0,0,1080,0,1,0,3,5,1,288,0,0,0,0,130,0,0,136000,3,2,3,3,2,2,3,4,3,3,3,6,11,1953,0,0
124,55,7892,6,5,0,300,0,899,1199,1199,0,0,1199,0,2,0,2,5,2,530,0,63,0,0,0,0,0,153900,2,3,2,3,1,2,2,3,3,3,1,6,13,1988,0,0
125,48,17043,6,5,0,0,0,1362,1362,1586,0,0,1586,0,2,0,3,7,2,435,192,0,0,0,0,0,0,181000,3,2,2,4,3,2,3,3,3,3,6,6,14,1993,1,0
126,60,6780,6,8,0,490,0,30,520,520,0,234,754,1,1,0,2,5,0,0,53,0,0,0,0,0,0,84500,3,4,3,3,2,1,3,3,3,3,1,6,2,1977,1,0
127,53,4928,6,5,0,120,0,958,1078,958,0,0,958,0,2,0,2,5,2,440,0,205,0,0,0,0,0,128000,3,3,2,3,3,2,3,3,3,3,2,6,10,1971,0,0
128,55,4388,5,7,0,116,0,556,672,840,0,0,840,0,1,0,3,5,0,0,0,0,0,0,0,0,0,87000,3,2,3,3,1,2,3,3,3,3,5,6,6,1945,1,0
129,69,7590,6,5,266,512,0,148,660,660,688,0,1348,0,1,1,3,6,2,453,188,108,0,0,0,0,0,155000,3,3,3,3,3,2,3,4,3,3,3,6,11,1961,0,0
130,69,8973,5,7,85,567,28,413,1008,1053,0,0,1053,0,1,1,3,6,2,750,0,80,0,180,0,0,0,150000,3,3,3,3,3,2,1,3,3,3,4,3,11,1986,1,0
131,88,14200,7,6,309,445,0,479,924,1216,941,0,2157,0,2,1,4,8,2,487,105,66,0,0,0,0,0,226000,3,3,3,3,1,2,2,2,3,3,4,6,11,1961,0,0
132,60,12224,6,5,40,695,0,297,992,1022,1032,0,2054,1,2,1,3,7,2,390,24,48,0,0,0,0,0,244000,2,3,2,3,1,2,2,3,3,3,1,6,15,1995,0,0
133,75,7388,5,6,0,405,0,658,1063,1327,0,0,1327,1,1,0,3,7,2,624,0,0,0,0,0,0,0,150750,3,3,3,3,2,2,2,5,3,3,4,6,11,1997,1,0
134,68,6853,8,5,136,1005,0,262,1267,1296,0,0,1296,1,2,0,2,6,2,471,192,25,0,0,0,0,0,220000,2,3,1,3,1,2,2,3,3,3,1,6,22,1997,1,0
135,78,10335,5,6,0,570,0,891,1461,1721,0,0,1721,0,2,1,3,7,2,440,0,96,180,0,0,0,0,180000,3,3,3,3,2,2,3,3,3,3,4,6,7,1988,1,0
136,80,10400,7,6,288,0,0,1304,1304,1682,0,0,1682,0,2,0,3,7,2,530,98,0,0,0,0,0,0,174000,3,3,3,3,2,2,3,2,3,3,6,6,14,1965,0,0
137,72,10355,5,5,196,695,0,519,1214,1214,0,0,1214,0,2,0,3,5,1,318,0,111,0,0,0,0,0,143000,3,3,3,3,3,2,3,4,3,3,3,6,11,1962,0,0
138,82,11070,7,5,70,0,0,1907,1907,1959,0,0,1959,0,3,0,5,9,3,766,0,0,0,0,0,0,0,171000,3,3,3,3,2,2,3,2,3,3,6,6,12,1984,1,0
